,Title,Authors,Year
1042,"Easter Bunny: Stories, Jokes, Games, and More!",Uncle Amon,2015
1043,The Court of the Stone Children,Eleanor Cameron,1973
1044,"Feeding the Whole Family: Whole Foods Recipes for Babies, Young Children, and Their Parents",Cynthia Lair,1994
1045,Are We There Yet? 36 Eye-Rolling Flowcharts from the Wonderfully Weird Brains of Children,David Vienna,-1
1046,"I'm Chocolate, You're Vanilla: Raising Healthy Black and Biracial Children in a Race-Conscious World",Marguerite A. Wright,1998
1047,"Naturally Healthy Babies and Children: A Commonsense Guide to Herbal Remedies, Nutrition, and Health",Aviva Romm,1996
1048,Little Victim: Britain's Vulnerable Children and the Cops Who Rescue Them,Harry Keeble,2011
1049,"The Mystery of the Empty Safe (The Boxcar Children, #75)",Gertrude Chandler Warner,2000
1050,Planets And Moons In Our Universe: Children's Books and Bedtime Stories For Kids Ages 3-8 for Fun Life Lessons (Books For Kids Series),Speedy Publishing,2014
1051,"The Ice Cream Mystery (The Boxcar Children, #94)",Gertrude Chandler Warner,2003
1052,The Family Virtues Guide: Simple Ways to Bring Out the Best in Our Children and Ourselves,Linda Kavelin Popov,1997
1053,"The Stuffed Bear Mystery (The Boxcar Children, #90)",Gertrude Chandler Warner,2002
1054,Equinox (Children of Occam #2),Christian Cantrell,2015
1055,Ghost Children,Sue Townsend,1997
1056,The Satin Man: Uncovering the mystery of the missing Beaumont children,Alan Whiticker,2013
1057,Lying to Children,Alex Shahla,-1
1058,Escape from Children's Hospital,Jonathan Safran Foer,2014
1059,Children of War,Deborah Ellis,2009
1060,The Children of Manor House,R.A. Douthitt,2016
1061,"Libba: The Magnificent Musical Life of Elizabeth Cotten (Early Elementary Story Books, Children's Music Books, Biography Books for Kids)",Laura Veirs,2018
1062,The Importance of Being Little: What Young Children Really Need from Grownups,Erika Christakis,2016
1063,How to Write a Children's Book,Katie Davis,-1
1064,Silly Riddles for Silly Kids: Children's Riddle Book Ages 5-12,Silly Willy,2015
1065,"The Black Pearl Mystery (The Boxcar Children, #64)",Gertrude Chandler Warner,1998
1066,"The New Social Story Book: Over 150 Social Stories that Teach Everyday Social Skills to Children with Autism or Asperger's Syndrome, and Their Peers",Carol Gray,1997
1067,White Wild Indigo: An Illustrated Collection of Poems for Children,Jet Widick,-1
1068,Books For Kids: Little Cats Eww And Yuck: Stinky Kittens (Little Cats Eww And Yuck - Children's Books Book 2),Ekaterina Chernova,-1
1069,Freedom's Children: Young Civil Rights Activists Tell Their Own Stories,Ellen Levine,1993
1070,"Mindful Games: Sharing Mindfulness and Meditation with Children, Teens, and Families",Susan Kaiser Greenland,-1
1071,Three Wishes: Palestinian and Israeli Children Speak,Deborah Ellis,2004
1072,The Mystery of the Mummy's Curse (The Boxcar Children #88),Gertrude Chandler Warner,2002
1073,Stupid Children,Lenore Zion,2013
1074,"Angel of Death:  A Love Story (Children of the Fallen, #1)",Anna Erishkigal,2013
1075,Gospills: A Daily Dose of God's Medicine for His Children,Jeff         Johnson,-1
1076,Windows to Our Children,Violet Oaklander,1978
1077,Parenting Children with ADHD: 10 Lessons That Medicine Cannot Teach,Vincent J. Monastra,2004
1078,1-2-3 Magic for Christian Parents: Effective Discipline for Children 2-12,Thomas W. Phelan,2004
1079,A Still Quiet Place: A Mindfulness Program for Teaching Children and Adolescents to Ease Stress and Difficult Emotions,Amy Saltzman,2013
1080,"Gender Born, Gender Made: Raising Healthy Gender-Nonconforming Children",Diane Ehrensaft,2011
1081,"Dreaming Dangerously (Children of the Psi, #1)",Kathleen Harsch,2011
1082,The Secret Power of Middle Children: How Middleborns Can Harness Their Unexpected and RemarkableAbilities,Catherine Salmon,2011
1083,The Spiritual Life of Children,Robert Coles,1990
1084,"Speedpost: Letters to My Children about Living, Loving, Caring and Coping with the World",Shobhaa Dé,1999
1085,Children Book: I Wish I Were an Elephant: Kid's Photo Book with Fun Facts (Ages 3-7) (Bedtime Story),Jean Matee,2014
1086,Sky Lantern: The Story of a Father's Love for His Children and the Healing Power of the Smallest Act of Kindness,Matt Mikalatos,2015
1087,"The Mystery of the Secret Message (The Boxcar Children, #55)",Gertrude Chandler Warner,1996
1088,"Mindful Parenting for ADHD: A Guide to Cultivating Calm, Reducing Stress, and Helping Children Thrive",Mark Bertin,2015
1089,Survivors of the Holocaust: True Stories of Six Extraordinary Children,Kath Shackleton,-1
1090,Beyond Behaviors: Using Brain Science and Compassion to Understand and Solve Children's Behavioral Challenges,Mona Delahooke,-1
1091,Many Ways to Say I Love You: Wisdom for Parents and Children from Mister Rogers,Fred Rogers,2006
1092,Silently Seduced: When Parents Make Their Children Partners - Understanding Covert Incest,Kenneth M. Adams,1991
1093,Why Our Children Will Be Atheists,Albert  Williams,2013
1094,Rescuing the Children: The Story of the Kindertransport,Deborah Hodge,2012
1095,Parenting from the Inside Out: How a Deeper Self-Understanding Can Help You Raise Children Who Thrive,Daniel J. Siegel,2003
1096,Children of the Holocaust: Conversations with Sons and Daughters of Survivors,Helen Epstein,1979
1097,The Princess and the Fog: A Story for Children with Depression,Lloyd      Jones,2015
1098,"Yes, We Can! A Salute To Children From President Obama's Victory Speech",Barack Obama,-1
1099,Hooked: New Science on How Casual Sex is Affecting Our Children,Freda McKissic Bush,2008
1100,Diary of a Time Spy (An hilarious adventure for children aged 9-12) (Diary of a Sixth Grade Time Spy),Peter Patrick,-1
1101,"Empty Hands, A Memoir: One Woman's Journey to Save Children Orphaned by AIDS in South Africa",Abegail Ntleko,2015
1102,The Devil You Know (Children of the Mountain #2),R.A. Hakok,-1
1103,Creative Children Like the Animals of the World,Michelle Korenfeld,2014
1104,The Disciple-Making Parent: A Comprehensive Guidebook for Raising Your Children to Love and Follow Jesus Christ,Chap Bettis,2016
1105,The Knowledge Deficit: Closing the Shocking Education Gap for American Children,E.D. Hirsch Jr.,2006
1106,Love Poems for People with Children,John Kenney,2019
1107,"Darwin's Children (Darwin's Children, #1)",Natasha Larry,2010
1108,Voices from the Second World War: Stories of War as Told to Children of Today,Candlewick Press,-1
1109,Go to work and do your job. Care for your children. Pay your bills. Obey the law. Buy products.,Noah Cicero,2013
1110,Right-Brained Children in a Left-Brained World: Unlocking the Potential of Your ADD Child,Jeffrey Freed,1997
1111,Suffer The Little Children,Barbara Davis,1999
1112,Thursday's Children,Rumer Godden,1984
1113,"The Mystery of the Blizzard Mountain (The Boxcar Children, #86)",Gertrude Chandler Warner,2002
1114,Children of the Knight,Michael J.  Bowler,2013
1115,Unregistered (Children of the Uprising #1),M.   Lynch,-1
1116,Lunch Lessons: Changing the Way We Feed Our Children,Ann Cooper,2006
1117,The Highly Intuitive Child: A Guide to Understanding and Parenting Unusually Sensitive and Empathic Children,Catherine Crawford,2008
1118,Building Better Families: A Practical Guide to Raising Amazing Children,Matthew Kelly,2008
1119,Everyday Talk: Talking Freely and Naturally about God with Your Children,John A. Younts,2005
1120,In the Beginning: God's Word for God's Children (The KathIrene Kids Bible Series Book 1),Olin Edward James,2014
1121,"Hope Against Hope: Three Schools, One City, and the Struggle to Educate America’s Children",Sarah  Carr,2013
1122,Maybe Days: A Book for Children in Foster Care,Jennifer Wilgocki,2001
1123,The Best Part of Me: Children Talk About Their Bodies in Pictures and Words,Wendy Ewald,2002
1124,Irena Sendler: Mother of the Children of the Holocaust,Anna Mieszkowska,2005
1125,"Children of a Broken Sky (The Redemption Chronicle, #1)",Adam J. Nicolai,2013
1126,What Do You Really Want for Your Children?,Wayne W. Dyer,1985
1127,Children of the Longhouse,Joseph Bruchac,1996
1128,Parenting in the pew : guiding your children into the joy of worship,Robbie Castleman,1993
1129,The Coconut Children,Vivian Pham,-1
1130,The Wild Children,Felice Holman,1983
1131,The Writer's Guide to Crafting Stories for Children,Nancy Lamb,2001
1132,The Five Shilling Children,Lindsey Hutchinson,-1
1133,Be the Hands and Feet: Living Out God's Love for All His Children,Nick Vujicic,2018
1134,Six Million Paper Clips: The Making of a Children's Holocaust Memorial,Peter W. Schroeder,2004
1135,The Chosen (Children of the Prime #1),T.C. Edge,-1
1136,Children Who Remember Previous Lives: A Question of Reincarnation,Ian Stevenson,1987
1137,"Children of Chaos (Dodec, #1)",Dave Duncan,2006
1138,How to Get Your Children to Clean Their Rooms Using Rubric Rules: A Teacher's Strategy,Katie Ely,2015
1139,Suffer The Little Children: The True Story of an Abused Convent Upbringing,Frances Reilly,2010
1140,Lightning Child (Children of the Mountain #3),R.A. Hakok,-1
1141,Transforming Children Into Spiritual Champions: Why Children Should Be Your Church's #1 Priority,George Barna,2003
1142,Children of the Sun,Max Schaefer,2010
1143,"The Vanishing Passenger (The Boxcar Children, #106)",Gertrude Chandler Warner,2006
1144,"The Candy Factory Mystery (The Boxcar Children Special, #18)",Gertrude Chandler Warner,2002
1145,Jade's Life Skills Series - Learning Manners or To Fart Or Not To Fart (Children's Life Skills Series),Asaf Shani,2013
1146,Keeping Secrets (Children of the Light #1),Donna Hechler Porter,2014
1147,Elijah in Jerusalem (Children of the Last Days #7),Michael D. O'Brien,2015
1148,Portraits of His Children,George R.R. Martin,1985
1149,The Arrow (Children of Brigid Trilogy Book #1),Maureen O'Leary,2014
1150,The Origins of Intelligence in Children,Jean Piaget,1936
1151,Mega Collection #1: Nine Awesome Bedtime Stories for Children 3-6!,Scott  Gordon,2012
1152,More Than Words: Helping Parents Promote Communication and Social Skills in Children with Autism Spectrum Disorder,Fern Sussman,1999
1153,"Black Sun Light My Way (Children of the Black Sun, #2)",Jo Spurrier,2013
1154,Someone cry for the children: The unsolved Girl Scout murders of Oklahoma and the case of Gene Leroy Hart,Michael Wilkerson,1981
1155,Time's Children,D.B. Jackson,2018
1156,Setting Boundaries with Your Adult Children: Six Steps to Hope and Healing for Struggling Parents,Allison Bottke,2008
1157,How Children Raise Parents: The Art of Listening to Your Family,Dan B. Allender,1900
1158,"Number Talks, Grades K-5: Helping Children Build Mental Math and Computation Strategies",Sherry Parrish,2010
1159,A Fun Day at the Countryside: Children's book (Bedtime stories book series for children 5),N.S. Esther,-1
1160,"Moo Moo the Happy Cow: Stories, Jokes, Games, and More!",Uncle Amon,2015
1161,The Learning Habit: A Groundbreaking Approach to Homework and Parenting that Helps Our Children Succeed in School and Life,Stephanie Donaldson-Pressman,2014
1162,"Mystery of the Fortune Cookie (The Boxcar Children, #96)",Gertrude Chandler Warner,2003
1163,"The Little Leprechaun Who Loved Yellow! (Happy Children's Series, #2)",Sally Huss,2013
1164,Children of Crisis: Selections from the Pulitzer Prize-winning five-volume Children of Crisis series,Robert Coles,1967
1165,Bible For Kids: A Collection of Bible Stories for Children Complete (Over 60 Illustrated) (With Over 100 Fun-Filled Follow-Up Activities),Fiona Wesley,2014
1166,Lifeskills for Adult Children,Janet Geringer Woititz,1990
1167,Parents and Children (Original Homeschooling #2),Charlotte M. Mason,1897
1168,When Dad Hurts Mom: Helping Your Children Heal the Wounds of Witnessing Abuse,Lundy Bancroft,2004
1169,This Is the Way We Go to School: A Book About Children Around the World,Edith Baer,1990
1170,Calm and Compassionate Children: A Handbook,Susan Usha Dermond,2007
1171,Children of the Elementi,Ceri Clark,2010
1172,Pricing the Priceless Child: The Changing Social Value of Children,Viviana A. Zelizer,1994
1173,Hardly Children: Stories,Laura Adamczyk,2018
1174,Minecraft Kid's Stories Book: A Collection of Marvelous Minecraft Short Stories for Children: Amusing Minecraft Stories for Kids from Famous Children Authors. A Treasure for All Little Minecrafters!,Minecraft Books,2014
1175,"The Spy Game (The Boxcar Children, #118)",Gertrude Chandler Warner,2009
1176,"The Mystery of the Orphan Train (Boxcar Children, #105)",Gertrude Chandler Warner,2005
1177,"Keep Calm And Carry On, Children",Sharon K. Mayhew,-1
1178,How to Talk So Your Kids Will Listen: From Toddlers to Teenagers: Connecting with Your Children at Every Age,H. Norman Wright,2004
1179,The Secret Children,Alison   McQueen,2012
1180,The Verbal Behavior Approach: How to Teach Children with Autism and Related Disorders,Mary Barbera,2007
1181,"The Radio Mystery (The Boxcar Children, #97)",Gertrude Chandler Warner,2003
1182,"Sleep, My Child, Forever: The Riveting True Story of a Mother Who Murdered Her Own Children",John Coston,1995
1183,Children Of Light,Robert  Stone,1985
1184,"The Mammoth Hunters, Part 1 of 2 (Earth's Children, #3)",Jean M. Auel,1985
1185,The Children's War,J.N. Stroyar,2001
1186,"The Clue In The Corn Maze (The Boxcar Children, #101)",Gertrude Chandler Warner,2004
1187,Children and Lunatics,Megan McNamer,-1
1188,"Children of the Sea, Volume 4 (Children of the Sea, #4)",Daisuke Igarashi,2007
1189,"Our Children Can Soar: A Celebration of Rosa, Barack, and the Pioneers of Change",Michelle Cook,2009
1190,"Trident's Forge (Children of a Dead Earth, #2)",Patrick S. Tomlinson,2016
1191,"Golden Legacy: How Golden Books Won Children's Hearts, Changed Publishing Forever, and Became An American Icon Along the Way",Leonard S. Marcus,2007
1192,"Suffer the Little Children (The Chronicles of Christoval Alvarez, #5)",Ann Swinfen,2015
1193,The Children of Gavrilek,Julie Kirton Chandler,2013
1194,Show and Tell: Exploring the Fine Art of Children's Book Illustration,Dilys Evans,2008
1195,"The Box That Watch Found (The Boxcar Children, #113)",Gertrude Chandler Warner,2007
1196,"The Seventh Door (Children of the Bard, #3)",Bryan Davis,2014
1197,"The Comic Book Mystery (The Boxcar Children, #93)",Gertrude Chandler Warner,2003
1198,Show Me a Story: 40 Craft Projects and Activities to Spark Children's Storytelling,Emily K. Neuburger,2012
1199,The Children Star,Joan Slonczewski,1998
1200,Resilience Parenting: Raising Resilient Children in an Era of Detachment and Dependence,Chris Santillo,-1
1201,The Children Under the Ice,R.A. Douthitt,2014
1202,Baby Animals from Africa: A rhyming picture book for children aged 0-5,Barb Asselin,2014
1203,"Terry Brooks CD Collection: Armageddon's Children, The Elves of Cintra",Terry Brooks,2010
1204,"The Mystery in New York (The Boxcar Children Special, #13)",Gertrude Chandler Warner,1999
1205,Witnesses of War: Children's Lives Under the Nazis,Nicholas Stargardt,2005
1206,Gideon's Children,Howard G. Franklin,2014
1207,"The Creature in Ogopogo Lake (The Boxcar Children, #108)",Gertrude Chandler Warner,2006
1208,A Book of Dog Breeds For Children: They're All Dogs,Amber Richards,2013
1209,"Children of Anubis (Supernatural, #17)",Tim Waggoner,-1
1210,The Children Who Loved Books,Peter Carnavas,2012
1211,Born to Rise: A Story of Children and Teachers Reaching Their Highest Potential,Deborah Kenny,2012
1212,The War for Earth (Children of Earthrise Book 4),Daniel Arenson,-1
1213,"The Mystery at the Ballpark (Boxcar Children Special, #4)",Gertrude Chandler Warner,1995
1214,"Frenchmen, Desire, Good Children: . . . and Other Streets of New Orleans!",John Churchill Chase,1979
1215,Motherless Children,Randall Luce,2011
1216,A Country Called Childhood: Children and the Exuberant World,Jay Griffiths,2013
1217,Chivalry's Children,Alexis P. Johnson,-1
1218,The Healing Power of Play: Working with Abused Children,Eliana Gil,1991
1219,Silent Children,Ramsey Campbell,2000
1220,"Vaccine Epidemic: How Corporate Greed, Biased Science, and Coercive Government Threaten Our Human Rights, Our Health, and Our Children",Louise Kuo Habakus,2011
1221,Saiqa (The Children of the Stars #1),A.L. Whyte,-1
1222,When Invisible Children Sing,Chi Cheng Huang,2006
1223,Birth Control Is Sinful in the Christian Marriages and Also Robbing God of Priesthood Children!!,Eliyzabeth Yanne Strong-Anderson,2007
1224,Harry and the Hot Lava (Xist Children's Books),Chris   Robertson,2014
1225,Christmas Joke Book for Children: Funny Christmas Jokes for Kids (Christmas Joke Books for Kids),Johnny B. Laughing,2014
1226,Ducky Duck (Early Readers Children's Book Edition with 1st Grade Site Words),Jenny Loveless,2013
1227,"Teaching Children to Care: Classroom Management for Ethical and Academic Growth, K-8",Ruth Sidney Charney,1992
1228,Outgrowing the Pain: A Book for and about Adults Abused as Children,Eliana Gil,1983
1229,"The Game Store Mystery (The Boxcar Children, #104)",Gertrude Chandler Warner,2005
1230,"The King of Trees: Three Novellas: The King of Trees, The King of Chess, The King of Children",Ah Cheng,1990
1231,"The Ghost Of The Chattering Bones (The Boxcar Children, #102)",Gertrude Chandler Warner,2005
1232,Scary Stories for Kids - Short Horror Stories for Children: (Children's Books and Books for Kids),Kara Aitken,2014
1233,10 Conversations You Need to Have with Your Children,Shmuley Boteach,2006
1234,"Kids, Sex & Screens: Raising Strong, Resilient Children in the Sexualized Digital Age",Jillian Roberts,-1
1235,The Changeling Quest: Children of the Fae,Maria Moloney,2013
1236,The Grasshopper and the Ant: Aesop's Fables in Verses (Children's story picture books Book 3),Sigal Adler,-1
1237,"The Great Detective Race (The Boxcar Children, #115)",Gertrude Chandler Warner,2008
1238,"The Children of the Sun (II AM Trilogy, #3)",Christopher Buecheler,2012
1239,The Snowman's Children,Glen Hirshberg,2002
1240,Meaningful Differences in the Everyday Experience of Young American Children,Betty Hart,1995
1241,I Prayed For Patience: God Gave Me Children,Linda Wood Rondeau,2012
1242,"Bad Little Children's Books: KidLit Parodies, Shameless Spoofs, and Offensively Tweaked Covers",Arthur C. Gackley,-1
1243,Writing Children's Books for Dummies,Lisa Rojany Buccieri,2005
1244,"Rose, Where Did You Get That Red?: Teaching Great Poetry to Children",Kenneth Koch,1974
1245,Silly Facts for Silly Kids. Children's fact book age 5-12,Silly Willy,-1
1246,Poor Banished Children,Fiorella De Maria,2011
1247,The Widow's Children,Paula Fox,1976
1248,The Book of Children: Supporting the Freedom and Intelligence of a New Generation,Osho,1996
1249,"The Finders Keepers Mystery (The Boxcar Children, #99)",Gertrude Chandler Warner,2004
1250,Daedalus's Children (Star Trek: Enterprise #8),Dave Stern,2003
1251,Treating Trauma and Traumatic Grief in Children and Adolescents,Judith A. Cohen,2006
1252,A Cry of Stone (Children of the Last Days #6),Michael D. O'Brien,2003
1253,Wicked Children: Murderous Tales from History,Karen Maitland,-1
1254,The Graphic Canon of Children's Literature: The World's Great Kids' Lit as Comics and Visuals (The Graphic Canon),Russ Kick,2014
1255,The Belle and Boo Book of Crafts: 25 Enchanting Projects to Make for Children,Mandy Sutcliffe,2013
1256,Winter's Children,Leah Fleming,2010
1257,Early Birdy Gets the Worm (Picture Reader): A Picture Reading Book for Young Children,Bruce Lansky,2014
1258,What Are We Even Doing With Our Lives?: The Most Honest Children's Book of All Time,Chelsea Marshall,2017
1259,Dear Children of the Earth,Schim Schimmel,1994
1260,The Tale of Peter Rabbit Coloring Book: Beatrix Potter's Original Illustrations from the Classic Children's Story,Frankie Bow,-1
1261,The Pet Shop Mystery (Boxcar Children Special #7),Gertrude Chandler Warner,1996
1262,Attention Deficit Disorder: The Unfocused Mind in Children and Adults,Thomas E. Brown,2005
1263,"The Ghost in the First Row (The Boxcar Children, #112)",Gertrude Chandler Warner,2007
1264,The Water Children,Anne Berry,2011
1265,Children in Reindeer Woods,Kristín Ómarsdóttir,2004
1266,How to Make a Serial Killer: The Twisted Development of Innocent Children into the World's Most Sadistic Murderers,Christopher Berry-Dee,2008
1267,The Story of the Root Children,Sibylle von Olfers,1906
1268,"For the Inquiring Minds of Children, 100 Poems",Hal  Wilson,-1
1269,The Every Day Living of Children & Teens Monologues,Adra Young,2005
1270,Raising Respectful Children in a Disrespectful World,Jill Rigby,2006
1271,Suffer the Children (The Ghosts of RedRise House #3),Caroline   Clark,-1
1272,The Case Against Homework: How Homework Is Hurting Our Children and What We Can Do About It,Sara  Bennett,2006
1273,First German Reader for Beginners Bilingual for Children and Parents: Elementary with German-English translation,Elisabeth May,2014
1274,"A Bear Sat on My Porch Today: (Story Books for Kids, Childrens Books with Animals, Friendship Books, Inclusivity Book)",Jane Yolen,-1
1275,"Same Difference: How Gender Myths Are Hurting Our Relationships, Our Children, and Our Jobs",Rosalind C. Barnett,2004
1276,"Do You Believe in Magic? (Children of Merlin, #1)",Susan Squires,2012
1277,Adventures in Cutie Patootie Land and The Pizza Party (an hilarious adventure for children ages 7-12),Starrie Sky,2013
1278,Smart Medicine for a Healthier Child: A Practical A-to-Z Reference to Natural and Conventional Treatments for Infants and Children,Janet Zand,1994
1279,"Dear Santa: Children's Christmas Letters and Wish Lists, 1870 - 1920",Chronicle Books,2015
1280,Children's Letters to a Holocaust Survivor: Dear Esther,Richard Rashke,2016
1281,Why Children Matter,Douglas Wilson,2018
1282,Christmas is coming! Wow! (children's christmas book series 1),Charles Obutte,2017
1283,The Cure: How a Father Raised $100 Million—and Bucked the Medical Establishment—in a Quest to Save His Children,Geeta Anand,2006
1284,"Wishes, Lies, and Dreams: Teaching Children to Write Poetry",Kenneth Koch,1970
1285,"The Gentle Parenting Book: How to raise calmer, happier children from birth to seven",Sarah Ockwell-Smith,-1
1286,"Love, Work, Children",Cheryl Mendelson,2005
1287,Poetry Speaks to Children (Book & CD),Elise Paschen,2005
1288,"Madeline: The most suitable for children, 100 books",Ludwig Bemelmans,1939
1289,Personal Space Camp: Teaching Children the Concepts of Personal Space,Julia Cook,2007
1290,"The Mystery of the Spider's Clue (The Boxcar Children, #87)",Gertrude Chandler Warner,2002
1291,Hitler's Children - Spitting Fire (Eyewitness Accounts - 12th SS Panzer 'Hitler Youth' in Normandy 1944),Sprech Media,2015
1292,The Child On Platform One: Inspired by the extraordinary true story of the children who escaped the Holocaust,Gill Thompson,-1
1293,Tears and Tantrums: What to Do When Babies and Children Cry,Aletha J. Solter,1998
1294,Children and Other Wild Animals,Brian  Doyle,2014
1295,The Trauma Myth: The Truth About the Sexual Abuse of Children--and Its Aftermath,Susan A. Clancy,2009
1296,"Girls Can Do Journal: A Daily Journal (Children's Journal Series, #5)",Karen Jean Matsko Hood,2014
1297,Children of the Mark,Michael W. Garza,2015
1298,The Lost Art of Feeding Kids: What Italy Taught Me about Why Children Need Real Food,Jeannie Marshall,2013
1299,Passion's Child (Texas: Children of Destiny #1),Ann Major,1988
1300,The Children Who Lived in a Barn,Eleanor Graham,1938
1301,The Children's Hour of Holidays,Patty   Smith,2013
1302,"Growing Up Again: Parenting Ourselves, Parenting Our Children",Jean Illsley Clarke,1996
1303,"Gatið (Children's House, #4)",Yrsa Sigurðardóttir,2017
1304,"A Horse Named Dragon (The Boxcar Children, #114)",Gertrude Chandler Warner,2008
1305,Children of the Dawnland,Kathleen O'Neal Gear,2003
1306,Lost Children of the Far Islands,Emily Raabe,2014
1307,Teaching Your Children Responsibility,Linda Eyre,1982
1308,"Infants, Children, and Adolescents",Laura E. Berk,1993
1309,Into the Minds of Babes: How Screen Time Affects Children From Birth to Age Five,Lisa Guernsey,2007
1310,Daughters of Chivalry: The Forgotten Children of Edward I,Kelcey Wilson-Lee,2019
1311,"Children No More (Jon & Lobo, #4)",Mark L. Van Name,2010
1312,Doing Life with Your Adult Children: Keep Your Mouth Shut and the Welcome Mat Out,Jim Burns,-1
1313,Avengers: The Children's Crusade #1,Allan Heinberg,2010
1314,All the Presidents' Children: Triumph and Tragedy in the Lives of America's First Families,Doug Wead,2003
1315,"The Saeshell Book of Time, Part 2: Rebirth of Innocents (Children of Sophista, #2)",Rusty A. Biesele,2013
1316,"The Mystery Of The Traveling Tomatoes (The Boxcar Children, #117)",Gertrude Chandler Warner,2008
1317,Banished Children of Eve:  A Novel of Civil War New York,Peter Quinn,2008
1318,Jefferson's Sons: A Founding Father's Secret Children,Kimberly Brubaker Bradley,2011
1319,"The Underdogs: Children, Dogs, and the Power of Unconditional Love",Melissa Fay Greene,2016
1320,"Dinosaur Joke Book for Kids: Funny & Hilarious Dinosaur Jokes for Kids, Early & Beginner Readers (Funny & Hilarious Joke Books for Children)",Johnny B. Laughing,2014
1321,"Eight Children and a Truck (Eight Children, #1)",Anne-Cath. Vestly,1957
1322,Children of the Sun: A History of Humanity's Unappeasable Appetite for Energy,Alfred W. Crosby,2006
1323,"Our White House: Looking In, Looking Out",National Children's Book & Literacy Alliance,2008
1324,"101 Games and Activities for Children with Autism, Asperger's and Sensory Processing Disorders",Tara Delaney,2009
1325,"Air: Merlin's Chalice (Children of Avalon, #1)",Meredith Bond,2004
1326,"Books For Kids: Be Careful Baby Bear!: Fun Stories, Children's Books, Free Stories, bedtime stories for kids, Series Books For Kids Ages 2-4, 4-6, 6-8, ... CHILDREN’S BEDTIME STORY BOOK SERIES BOOK)",Sheila Watkins,-1
1327,"The Rock 'n' Roll Mystery (The Boxcar Children, #109)",Gertrude Chandler Warner,2006
1328,"Omega Dragon (Children of the Bard, #4)",Bryan Davis,2015
1329,The Mystery at the Fair (Boxcar Children Mystery & Activities Specials #6) (Boxcar Children Special),Gertrude Chandler Warner,1996
1330,"The Dog-gone Mystery (The Boxcar Children, #119)",Gertrude Chandler Warner,2009
1331,Funny Books: Knock Knock Jokes for Kids - The Most Hilarious Kid-Tested (and Kid-Approved) Knock Knock Jokes for Children,Henry Baker,2013
1332,The Children of Now,Meg Blackburn Losey,2006
1333,Children of Neptune (Volume 1),Makenna Snow,-1
1334,Children of the Night: A Novel,T.C Paul,-1
1335,The Halloween Children,Brian James Freeman,2014
1336,Absent Children,Juli Townsend,2013
1337,"China's Hidden Children: Abandonment, Adoption, and the Human Costs of the One-Child Policy",Kay Ann Johnson,2016
1338,The Family Nutrition Book: Everything You Need to Know about Feeding Your Children from Birth Through Adolescence,William Sears,1999
1339,Toy Stories: Photos of Children from Around the World and Their Favorite Things,Gabriele Galimberti,2014
1340,"The Mystery of the Runaway Ghost (The Boxcar Children, #98)",Gertrude Chandler Warner,2004
1341,"Call Me Evil, Let Me Go: A Mother's Struggle to Save Her Children from a Brutal Religious Cult",Sarah Jones,2011
1342,Raising Adopted Children: Practical Reassuring Advice for Every Adoptive Parent,Lois Ruskai Melina,1986
1343,The Legacy of Earth (Children of Earthrise Book 6),Daniel Arenson,-1
1344,"Different Minds: Gifted Children with AD/HD, Asperger Syndrome, and Other Learning Deficits",Deirdre V. Lovecky,2003
1345,Raising Children Who Think for Themselves,Elisa Medhus,2001
1346,Once Upon A Wish: True Inspirational Stories of Make-A-Wish Children,Rachelle Sparks,2013
1347,"Lords of the Sea (Children of Andromeda, #1)",Kaitlyn O'Connor,2007
1348,Before I Go: Letters to Our Children about What Really Matters,Peter Kreeft,2007
1349,"The Amazing Mystery Show (The Boxcar Children, #123)",Gertrude Chandler Warner,2010
1350,If I Were A Robot (A fun picture book for children 3-6!),Scott  Gordon,2012
1351,"Children of Jubilee (Children of Exile, #3)",Margaret Peterson Haddix,2018
1352,The Return of the Marauders (The Omega Children #1),Shane A. Mason,2011
1353,"Because I Said So: 33 Mothers Write About Children, Sex, Men, Aging, Faith, Race, and Themselves",Kate Moses,2005
1354,"11X Magic: A Children's Picture Book That Makes Math Fun, With a Cartoon Rhyming Format to Help Kids See How Magical 11X Math Can Be",Sharon  Clark,-1
1355,The First R: How Children Learn Race and Racism,Debra Van Ausdale,2000
1356,"The Spy in the Bleachers (The Boxcar Children, #122)",Gertrude Chandler Warner,2010
1357,"Finding Home (Baxter Family Children, #2)",Karen Kingsbury,2020
1358,A Children's Illustrated History of Presidential Assassination,Bryan Young,2014
1359,Mama Maggie: The Untold Story of One Woman's Mission to Love the Forgotten Children of Egypt's Garbage Slums,Martin Makary,2015
1360,The Fire Children,Lauren M. Roy,2015
1361,"Mine!: (Read Aloud Books for Kids, Funny Children's Books)",Jeff Mack,2017
1362,"Your Child's Self-Esteem: Step-by-Step Guidelines for Raising Responsible, Productive, Happy Children",Dorothy Corkille Briggs,1975
1363,"Kiko the Kitty Cat: Short Stories, Games, Jokes, and More!",Uncle Amon,2015
1364,"Touching Heaven: Real Stories of Children, Life, and Eternity",Leanne Hadley,2013
1365,Children of the Broken Treaty: Canada's Lost Promise and One Girl's Dream,Charlie Angus,2015
1366,"The Heart Has Reasons: Dutch Rescuers of Jewish Children During the Holocaust, Updated Edition",Mark Klempner,2006
1367,Why Have Children?: The Ethical Debate,Christine Overall,2012
1368,"Wounded Children, Healing Homes: How Traumatized Children Impact Adoptive and Foster Families",Jayne E. Schooler,2005
